001,003,005,020,040,090,092,100,245,264,300,520,590,920,923,LDR
\\,\\,\\,\\$a0674994590,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 622.5 .A9 1957 v.7,\4$a189,1\$aAugustine.,"10$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7).","\1$aLoeb Classical Library (1972), Edition $b abridged edition, Hardcover, 480 pages, $c1972.",\\$a461  p.,"\\$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7) by Augustine (1972)",,\\$aLoeb,\\$aYour library,00681     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6220.5 .A12 1953,\4$a281.4,"1\$aBaxter, James Houston (trans.).",10$aSt.Augustine Select Letters (Loeb Classical Library).,"\1$bWilliam Heinemann, $c1953.",,\\$aSt.Augustine Select Letters (Loeb Classical Library) by James Houston (trans.) Baxter (1953),,\\$aLoeb,\\$aYour library,00513     2200169 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6229 .B4 1930,\4$a870,"1\$aKing, Bede. Translated By J.E.","10$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library.","\1$bHarvard University Press, $c1954.",,"\\$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library by Bede. Translated By J.E. King (1954)",,\\$aLoeb $a2 vols,\\$aYour library,00578     2200169 i 4500
\\,\\,\\,\\$a0674990838,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6231 .C8 1973,\4$a180,1\$aBoethius.,10$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library).,"\1$aLoeb Classical Library (1973), Edition $b Reprint, Hardcover, 464 pages, $c1973.",\\$a464  p.,\\$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library) by Boethius (1973),,\\$aLoeb,\\$aYour library,00639     2200193 i 4500
\\,\\,\\,\\$a0674994434,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6235 .A2 1914 v.3,\4$a937,1\$aCaesar.,10$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402).,"\1$bLoeb Classical Library, $c1955.",\\$a464  p.,\\$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402) by Caesar (1955),,\\$aLoeb,\\$aYour library,00581     2200193 i 4500
\\,\\,\\,\\$a0674993136,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6271 .C7 1935,\4$a630,1\$aCato.,10$aCato and Varro: On Agriculture (Loeb Classical Library No. 283).,"\1$aLoeb Classical Library (1934), Edition $b Revised, Hardcover, 576 pages, $c1934.",\\$a576  p.,\\$aCato and Varro: On Agriculture (Loeb Classical Library No. 283) by Cato (1934),,\\$aLoeb,\\$aYour library,00583     2200193 i 4500
\\,\\,\\,\\$a0434993042,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6277 .C2 1935 v.2',\4$a610,1\$aCelsus.,"10$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2).","\1$bHarvard / Heinemann / Loeb Classical Library, $c1938.",\\$a358  p.,"\\$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2) by Celsus (1938)",,\\$aLoeb,\\$aYour library,00642     2200193 i 4500
\\,\\,\\,\\$a0674993705,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6277 .C2 1935 v.3,\4$a610,1\$aCelsus.,"10$aCelsus: On Medicine, Vol. 3 (De Medicina, Vol. 3), Books 7-8 (Loeb Classical Library, No. 336).","\1$bHarvard / Heinemann / Loeb Classical Library, $c1938.",\\$a368  p.,"\\$aCelsus: On Medicine, Vol. 3 (De Medicina, Vol. 3), Books 7-8 (Loeb Classical Library, No. 336) by Celsus (1938)",,\\$aLoeb,\\$aYour library,00627     2200193 i 4500
\\,\\,\\,\\$a0674992180,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.9 1927,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aCicero: Orations (Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis Reo. (Loeb Classical Library No. 198).,"\1$bLoeb Classical Library, $c1927.",\\$a512  p.,\\$aCicero: Orations (Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis Reo. (Loeb Classical Library No. 198) by Marcus Tullius Cicero (1927),,\\$aLoeb,\\$aYour library,00709     2200193 i 4500
\\,\\,\\,\\$a0674992784,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.14 1953,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aPro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro (Loeb Classical Library).,"\1$aLoeb Classical Library (1931), Edition $b Revised, Hardcover, 560 pages, $c1931.",\\$a560  p.,\\$aPro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro (Loeb Classical Library) by Marcus Tullius Cicero (1931),,\\$aLoeb,\\$aYour library,00782     2200193 i 4500
\\,\\,\\,\\$a0674996356,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.15B 2009,\4$a808,"1\$aCicero, Marcus Tullius.","10$aCicero, XVb, Orations: Philippics 7-14 (Loeb Classical Library).","\1$bLoeb Classical Library, $c2010.",\\$a384  p.,"\\$aCicero, XVb, Orations: Philippics 7-14 (Loeb Classical Library) by Marcus Tullius Cicero (2010)",,\\$aLoeb,\\$aYour library,00576     2200193 i 4500
\\,\\,\\,\\$a0674991745,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.11,\4$a937.050924,"1\$aCicero, Marcus Tullius.","10$aOrations: Pro Archia, Post Reditum in Sentu, Post Reditum Ad Quirit (Loeb Classical Library, No. 158).","\1$bLoeb Classical Library, $c1923.",\\$a560  p.,"\\$aOrations: Pro Archia, Post Reditum in Sentu, Post Reditum Ad Quirit (Loeb Classical Library, No. 158) by Marcus Tullius Cicero (1923)",,\\$aLoeb $amissing,\\$aYour library,00662     2200193 i 4500
\\,\\,\\,\\$a0674993411,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.12 1958,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aCicero: Pro Sestio. In Vatinium. B. Orations (Loeb Classical Library No. 309).,"\1$aLoeb Classical Library (1958), Edition $b Revised, Hardcover, 400 pages, $c1958.",\\$a400  p.,\\$aCicero: Pro Sestio. In Vatinium. B. Orations (Loeb Classical Library No. 309) by Marcus Tullius Cicero (1958),,\\$aLoeb,\\$aYour library,00658     2200193 i 4500
\\,\\,\\,\\$a0674993233,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.8 1935,\4$a937.050924,"1\$aCicero, Marcus Tullius.","10$aCicero: The Verrine Orations, Volume II, Against Verres, Part 2, Books 3-5, B. Orations (Loeb Classical Library No. 293).","\1$bLoeb Classical Library, $c1935.",\\$a704  p.,"\\$aCicero: The Verrine Orations, Volume II, Against Verres, Part 2, Books 3-5, B. Orations (Loeb Classical Library No. 293) by Marcus Tullius Cicero (1935)",,\\$aLoeb $a2 copies,\\$aYour library,00705     2200193 i 4500
\\,\\,\\,\\$a0674991702,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.20 1923,\4$a937.050924,"1\$aFalconer, William Armistead, Tr. Cicero.","10$aCicero. De Senectute, De Amicitia, De Divinatione. With an English Translation By William Armstead Falconer.","\1$aHarvard Univ Pr (1923), Edition $b Loeb Library Edition, Hardcover, $c1923.",\\$a576  p.,"\\$aCicero. De Senectute, De Amicitia, De Divinatione. With an English Translation By William Armstead Falconer by William Armistead Falconer, Tr. Cicero. (1923)",,\\$aLoeb $a2 copies,\\$aYour library,00758     2200193 i 4500
\\,\\,\\,\\$a0674992962,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.19 1933,\4$a937.050924,"1\$aCicero, Marcus Tullius.","10$aDe natura deorum / Academica (Loeb Classical Library, No. 268).","\1$bLoeb Classical Library, $c1933.",\\$a688  p.,"\\$aDe natura deorum / Academica (Loeb Classical Library, No. 268) by Marcus Tullius Cicero (1933)",,\\$aLoeb,\\$aYour library,00580     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.3 1942,\4$a937.050924,"1\$aCicero, Marcus Tullius.","10$aCicero III: De Oratore, Books I-II (Loeb Classical Library) (English and Latin Edition).","\1$bHarvard Univ. Press;, $c1942.",,"\\$aCicero III: De Oratore, Books I-II (Loeb Classical Library) (English and Latin Edition) by Marcus Tullius Cicero (1942)",,\\$aLoeb,\\$aYour library,00576     2200169 i 4500
\\,\\,\\,\\$a0674992350,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.16 1928,\4$a937.050924,"1\$aCicero, Marcus Tullius.","10$aCicero: De re Publica (On the Republic) , De Legibus (On the Laws) (Loeb Classical Library No. 213).","\1$bLoeb Classical Library, $c1928.",\\$a544  p.,"\\$aCicero: De re Publica (On the Republic) , De Legibus (On the Laws) (Loeb Classical Library No. 213) by Marcus Tullius Cicero (1928)",,\\$aLoeb,\\$aYour library,00654     2200193 i 4500
\\,\\,\\,\\$a0674995716,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.22 1999,\4$a937.05092,"1\$aCicero, Marcus Tullius.","10$aCicero: Vol. XXII, Letters to Atticus 1-89 (Loeb Classical Library No. 7).","\1$bLoeb Classical Library, $c1999.",\\$a352  p.,"\\$aCicero: Vol. XXII, Letters to Atticus 1-89 (Loeb Classical Library No. 7) by Marcus Tullius Cicero (1999)",,\\$aLoeb $a2 copies,\\$aYour library,00611     2200193 i 4500
\\,\\,\\,\\$a0674995732,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.24 1999,\4$a937.05092,"1\$aCicero, Marcus Tullius.","10$aCicero: Letters to Atticus, III, 166-281 (Loeb Classical Library 97).","\1$bLoeb Classical Library, $c1999.",\\$a352  p.,"\\$aCicero: Letters to Atticus, III, 166-281 (Loeb Classical Library 97) by Marcus Tullius Cicero (1999)",,\\$aLoeb,\\$aYour library,00591     2200193 i 4500
\\,\\,\\,\\$a0434993867,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.2 1949,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aDe Inventione; De Optimo Genere Oratorum; Topica (Loeb Classical Library).,"\1$bWilliam Heinemann Ltd, $c1949.",\\$a484  p.,\\$aDe Inventione; De Optimo Genere Oratorum; Topica (Loeb Classical Library) by Marcus Tullius Cicero (1949),,\\$aLoeb,\\$aYour library,00600     2200193 i 4500
\\,\\,\\,\\$a0674995880,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.25 2001,\4$a937.05092,"1\$aCicero, Marcus Tullius.",10$aCicero: Letters to Friends (Loeb Classical Library No. 205).,"\1$bLoeb Classical Library, $c2001.",\\$a512  p.,\\$aCicero: Letters to Friends (Loeb Classical Library No. 205) by Marcus Tullius Cicero (2001),,\\$aLoeb,\\$aYour library,00573     2200193 i 4500
\\,\\,\\,\\$a0674995899,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6278 .A2 v.26 2001,\4$a937.05092,"1\$aCicero, Marcus Tullius.","10$aCicero: Letters to Friends, Volume II, 114-280 (Loeb Classical Library No. 216).","\1$bLoeb Classical Library, $c2001.",\\$a496  p.,"\\$aCicero: Letters to Friends, Volume II, 114-280 (Loeb Classical Library No. 216) by Marcus Tullius Cicero (2001)",,\\$aLoeb,\\$aYour library,00613     2200193 i 4500
\\,\\,\\,\\$a0674991508,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6372 .A2 1963 v.1,\4$a938,1\$aClaudian.,10$aClaudian: Volume I (Loeb Classical Library No. 135).,"\1$bLoeb Classical Library, $c1922.",\\$a432  p.,\\$aClaudian: Volume I (Loeb Classical Library No. 135) by Claudian (1922),,\\$aLoeb,\\$aYour library,00523     2200193 i 4500
\\,\\,\\,\\$a0674994485,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6375 .C6 1941 v.2,\4$a630,1\$aColumella.,"10$aColumella: On Agriculture, Volume II, Books 5-9 (Loeb Classical Library No. 407).","\1$aLoeb Classical Library (1954), Edition $b Revised, Hardcover, 528 pages, $c1954.",\\$a528  p.,"\\$aColumella: On Agriculture, Volume II, Books 5-9 (Loeb Classical Library No. 407) by Columella (1954)",,\\$aLoeb,\\$aYour library,00631     2200193 i 4500
\\,\\,\\,\\$a0674994493,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6375 .C6 1941 v.3,\4$a630,1\$aColumella.,"10$aColumella: On Agriculture, Volume III, Books 10-12. On Trees (Loeb Classical Library No. 408).","\1$aLoeb Classical Library (1955), Edition $b Revised, Hardcover, 448 pages, $c1955.",\\$a448  p.,"\\$aColumella: On Agriculture, Volume III, Books 10-12. On Trees (Loeb Classical Library No. 408) by Columella (1955)",,\\$aLoeb,\\$aYour library,00657     2200193 i 4500
\\,\\,\\,\\$a0674991249,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6389 .F6 1919 v.1,\4$a937,1\$aFronto.,"10$aMarcus Cornelius Fronto: Correspondence, I (Loeb Classical Library No. 112).","\1$bLoeb Classical Library, $c1919.",\\$a368  p.,"\\$aMarcus Cornelius Fronto: Correspondence, I (Loeb Classical Library No. 112) by Fronto (1919)",,\\$aLoeb,\\$aYour library,00567     2200193 i 4500
\\,\\,\\,\\$a0674991257,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6389 .F6 1919 v.2,\4$a937,1\$aFronto.,"10$aMarcus Cornelius Fronto: Correspondence, II (Loeb Classical Library No. 113).","\1$bLoeb Classical Library, $c1920.",\\$a384  p.,"\\$aMarcus Cornelius Fronto: Correspondence, II (Loeb Classical Library No. 113) by Fronto (1920)",,\\$aLoeb,\\$aYour library,00569     2200193 i 4500
\\,\\,\\,\\$a0674992342,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6390 .A2 1946 v.3,\4$a878.01,1\$aGellius.,"10$aAulus Gellius: Attic Nights, Volume III, Books 14-20 (Loeb Classical Library No. 212).","\1$bLoeb Classical Library, $c1927.",\\$a544  p.,"\\$aAulus Gellius: Attic Nights, Volume III, Books 14-20 (Loeb Classical Library No. 212) by Gellius (1927)",,\\$aLoeb,\\$aYour library,00592     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6393 .C2 1978,\4$a874.01,"1\$aBennett, Horace /.",10$aHorace: The Odes and Epodes.,"\1$bHeinemann London / Harvard, $c1951.",,\\$aHorace: The Odes and Epodes by Horace / Bennett (1951),,,\\$aYour library,00423     2200157 i 4500
\\,\\,\\,\\$a0674992881,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6445 .J1 1933,\4$a270.2092,1\$aJerome.,10$aJerome: Select Letters (Loeb Classical Library No. 262).,"\1$bLoeb Classical Library, $c1933.",\\$a528  p.,\\$aJerome: Select Letters (Loeb Classical Library No. 262) by Jerome (1933),,\\$aLoeb,\\$aYour library,00528     2200193 i 4500
\\,\\,\\,\\$a0674991028,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6448 .A2 1940,\4$a871.01,1\$aJuvenal.,10$aJuvenal and Persius (Loeb Classical Library No. 91).,"\1$aLoeb Classical Library (1918), Edition $b Revised, Hardcover, 560 pages, $c1918.",\\$a560  p.,\\$aJuvenal and Persius (Loeb Classical Library No. 91) by Juvenal (1918),,\\$aLoeb,\\$aYour library,00568     2200193 i 4500
\\,\\,\\,\\$a0674991265,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.1,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Vol. I, Books 1-2 (Loeb Classical Library: Latin Authors, Vol. 114).","\1$bLoeb Classical Library, $c1919.",\\$a484  p.,"\\$aLivy: History of Rome, Vol. I, Books 1-2 (Loeb Classical Library: Latin Authors, Vol. 114) by Livy (1919)",,\\$aLoeb,\\$aYour library,00593     2200193 i 4500
\\,\\,\\,\\$a0674993462,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.11,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Volume XI, Books 38-39 (Loeb Classical Library No. 313) (Bks. 1-45, v. 11).","\1$bLoeb Classical Library, $c1936.",\\$a432  p.,"\\$aLivy: History of Rome, Volume XI, Books 38-39 (Loeb Classical Library No. 313) (Bks. 1-45, v. 11) by Livy (1936)",,\\$aLoeb,\\$aYour library,00608     2200193 i 4500
\\,\\,\\,\\$a0674993667,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.12,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Volume XII, Books 40-42. (Loeb Classical Library No. 332).","\1$bLoeb Classical Library, $c1938.",\\$a544  p.,"\\$aLivy: History of Rome, Volume XII, Books 40-42. (Loeb Classical Library No. 332) by Livy (1938)",,\\$aLoeb,\\$aYour library,00574     2200193 i 4500
\\,\\,\\,\\$a0674993322,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.10,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Volume X, Books 35-37 (Loeb Classical Library No. 301).","\1$bLoeb Classical Library, $c1935.",\\$a512  p.,"\\$aLivy: History of Rome, Volume X, Books 35-37 (Loeb Classical Library No. 301) by Livy (1935)",,\\$aLoeb $a2 copies,\\$aYour library,00578     2200193 i 4500
\\,\\,\\,\\$a0674992105,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.4,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Volume IV, Books 8-10 (Loeb Classical Library No. 191).","\1$bLoeb Classical Library, $c1926.",\\$a592  p.,"\\$aLivy: History of Rome, Volume IV, Books 8-10 (Loeb Classical Library No. 191) by Livy (1926)",,\\$aLoeb,\\$aYour library,00567     2200193 i 4500
\\,\\,\\,\\$a0674994353,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6452 .A2 1919 v.13,\4$a937,1\$aLivy.,"10$aLivy: History of Rome, Volume XIII, Books 43-45. (Loeb Classical Library No. 396).","\1$bLoeb Classical Library, $c1951.",\\$a448  p.,"\\$aLivy: History of Rome, Volume XIII, Books 43-45. (Loeb Classical Library No. 396) by Livy (1951)",,\\$aLoeb,\\$aYour library,00576     2200193 i 4500
\\,\\,\\,,\\$aMePoLT $cMePoLT $erda,\4$aPA 6156 .A5 6482 .A2,\4$a871.1,"1\$aRouse, W.H.D. Lucretius;.",10$aDe Rerum Natura (With an English Translation).,"\1$bHarvard University, $c1959.",,\\$aDe Rerum Natura (With an English Translation) by W.H.D. Lucretius; Rouse (1959),,\\$amissing $aLoeb,\\$aYour library,00493     2200169 i 4500
\\,\\,\\,\\$a0674995554,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6501 .A2 1993 v.1,\4$a878.0102,1\$aMartial.,"10$aEpigrams, Volume I: Spectacles, Books 1-5 (Loeb Classical Library).","\1$bLoeb Classical Library, $c1993.",\\$a416  p.,"\\$aEpigrams, Volume I: Spectacles, Books 1-5 (Loeb Classical Library) by Martial (1993)",,\\$aLoeb,\\$aYour library,00556     2200193 i 4500
\\,\\,\\,\\$a0674995562,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6501 .A2 1993 v.2,\4$a878.0102,1\$aMartial.,"10$aEpigrams, Volume II: Books 6-10 (Loeb Classical Library).","\1$bLoeb Classical Library, $c1993.",\\$a416  p.,"\\$aEpigrams, Volume II: Books 6-10 (Loeb Classical Library) by Martial (1993)",,\\$aLoeb,\\$aYour library,00536     2200193 i 4500
\\,\\,\\,\\$a0674995147,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6515 .A2 1984,\4$a920,"1\$aNepos, Cornelius.",10$aCornelius Nepos: On Great Generals. On Historians. (Loeb Classical Library No. 467).,"\1$bLoeb Classical Library, $c1929.",\\$a368  p.,\\$aCornelius Nepos: On Great Generals. On Historians. (Loeb Classical Library No. 467) by Cornelius Nepos (1929),,\\$aLoeb,\\$aYour library,00598     2200193 i 4500
\\,\\,\\,\\$a0674992792,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6519 .A2 1977 v.5,\4$a871.01,1\$aOvid.,10$aOvid: Fasti (Loeb Classical Library No. 253) (English and Latin Edition).,"\1$aHarvard University Press (1989), Edition $b 2nd, Hardcover, 496 pages, $c1989.",\\$a496  p.,\\$aOvid: Fasti (Loeb Classical Library No. 253) (English and Latin Edition) by Ovid (1989),,\\$aLoeb,\\$aYour library,00606     2200193 i 4500
\\,\\,\\,\\$a0674990471,\\$aMePoLT $cMePoLT $erda,\4$aLOEB-PA 6519 .A2 1977 v.4,\4$a871.01,1\$aOvid.,"10$aOvid IV: Metamorphoses, Books IX-XV (Loeb Classical Library, No. 43).","\1$aLoeb Classical Library (1916), Edition $b 2 Sub, Hardcover, 512 pages, $c1916.",\\$a512  p.,"\\$aOvid IV: Metamorphoses, Books IX-XV (Loeb Classical Library, No. 43) by Ovid (1916)",,\\$aLoeb,\\$aYour library,00598     2200193 i 4500
